sample_time,currency,S_M30,S_H1,S_H4,S_D1,zS_H1,mtf,veto,rank_h1,zmov,zhist,candidata_h1
2025.09.22 23:00,CAD,37.1228931005,28.2467831218,33.5627752321,63.0168103053,-1.7073027809,3,0,8,1.4120012761,1.2698367916,0
2025.09.22 23:00,AUD,42.4061214338,44.9310119880,29.8656038376,51.1471746658,-0.3978398863,3,0,6,0.0346544764,-0.5987236137,0
2025.09.22 23:00,NZD,61.6798960796,61.2478970518,42.8420028950,29.5194709627,0.8827920037,2,0,3,-0.7322978592,-0.4978265477,0
2025.09.19 23:00,USD,52.5733336202,56.0327762066,60.2499076809,54.5741330138,1.0817725768,4,0,2,1.1161831339,1.5590738004,0
2025.09.19 23:00,EUR,52.2154772950,44.1769694259,53.5434110473,66.4444754578,-1.0441618540,1,0,7,1.0332835069,1.5628400722,0
2025.09.19 23:00,GBP,53.0250024708,48.3447767570,35.6550410646,50.3176169580,-0.2968078131,2,0,5,0.0084809192,-0.2844369681,0
2025.09.19 23:00,JPY,63.7055442963,54.5553250310,63.9104718256,29.6254956338,0.8168421185,3,0,3,-0.4847339375,-0.4500294645,0
2025.09.19 23:00,CHF,46.2845133906,41.8687772150,50.9647964828,62.9908592492,-1.4580573725,2,0,8,-0.2904415348,-0.3024012888,0
2025.09.19 23:00,CAD,42.6756105033,49.1736571356,75.7818178358,55.5563220461,-0.1481763983,2,0,4,0.8418537990,1.5209488099,0
2025.09.19 23:00,AUD,47.4255256881,58.8866961648,36.4582679954,53.0571500573,1.5935257467,2,0,1,-0.0673566720,-0.8232094398,0
2025.09.19 23:00,NZD,42.0949927358,46.9610220640,23.4362860676,27.4339475840,-0.5449370041,4,0,6,-2.1572692146,-5.1232268212,0
2025.09.18 23:00,USD,67.5903617194,68.7290295197,76.6704140011,41.1212737307,1.3339653008,3,0,2,1.4792917881,0.9516461451,0
2025.09.18 23:00,EUR,61.1060037448,61.2632947696,57.9499275170,54.2837194172,0.8022222603,4,0,3,-0.5502680493,-0.7734874687,0
2025.09.18 23:00,GBP,40.2277691190,38.6215300076,32.7385881607,52.9229021090,-0.8104255552,3,0,6,1.7817154828,1.1938543127,0
2025.09.18 23:00,JPY,46.3909984053,40.3590133381,47.7625558840,43.4644374814,-0.6866742166,4,0,5,-0.1239224991,0.4090486504,0
2025.09.18 23:00,CHF,35.8819789419,37.9167980097,52.7292028338,69.8312001484,-0.8606197220,2,0,7,-1.1460709026,-0.6742802431,0
2025.09.18 23:00,CAD,58.8515201882,70.7686562617,66.8802613538,36.5566346646,1.4792366454,3,0,1,-0.0875663954,0.1379118725,0
2025.09.18 23:00,AUD,29.2973707658,32.6945896027,36.0480545930,52.4069712359,-1.2325687758,3,0,8,-0.8794940832,-1.4654686213,0
2025.09.18 23:00,NZD,60.6539971155,49.6470884910,29.2209956568,49.4128612127,-0.0251359371,3,0,4,-0.4736853413,-0.1817748929,0
2025.09.17 23:00,USD,72.9026691575,74.0190111828,41.1522405347,18.6336628695,2.0075868438,2,0,1,-1.2060225368,-1.2520368335,0
2025.09.17 23:00,EUR,36.0492141270,39.2738682751,66.1508417345,65.2566367760,-0.8965248724,2,0,7,1.6514953782,2.8535246429,0
2025.09.17 23:00,GBP,53.0681787906,55.2389686341,67.6935999356,44.1778310655,0.4378899874,3,0,3,-0.0926874930,-0.4315333814,0
2025.09.17 23:00,JPY,28.0162267504,35.0836427111,69.9293027310,45.8644896115,-1.2467575131,3,1,8,0.2610265393,0.9048929258,0
2025.09.17 23:00,CHF,47.1740350635,43.3881761678,63.8179243974,75.3295057304,-0.5526376768,2,0,5,1.4941645527,2.6913866580,0
