tf,shift,bar_time,pair,ifm_light
M30,121,2026.07.08 11:00,EURCHF,13.3333333333
M30,121,2026.07.08 11:00,EURGBP,56.6666666667
M30,121,2026.07.08 11:00,EURJPY,56.6666666667
M30,121,2026.07.08 11:00,EURNZD,50.0000000000
M30,121,2026.07.08 11:00,EURUSD,50.0000000000
M30,121,2026.07.08 11:00,GBPAUD,86.6666666667
M30,121,2026.07.08 11:00,GBPCAD,20.0000000000
M30,121,2026.07.08 11:00,GBPCHF,13.3333333333
M30,121,2026.07.08 11:00,GBPJPY,56.6666666667
M30,121,2026.07.08 11:00,GBPNZD,50.0000000000
M30,121,2026.07.08 11:00,GBPUSD,30.0000000000
M30,121,2026.07.08 11:00,NZDCAD,30.0000000000
M30,121,2026.07.08 11:00,NZDCHF,50.0000000000
M30,121,2026.07.08 11:00,NZDJPY,50.0000000000
M30,121,2026.07.08 11:00,NZDUSD,50.0000000000
M30,121,2026.07.08 11:00,USDCAD,26.6666666667
M30,121,2026.07.08 11:00,USDCHF,46.6666666667
M30,121,2026.07.08 11:00,USDJPY,76.6666666667
M30,161,2026.07.07 15:00,AUDCAD,80.0000000000
M30,161,2026.07.07 15:00,AUDCHF,43.3333333333
M30,161,2026.07.07 15:00,AUDJPY,50.0000000000
M30,161,2026.07.07 15:00,AUDNZD,46.6666666667
M30,161,2026.07.07 15:00,AUDUSD,80.0000000000
M30,161,2026.07.07 15:00,CADCHF,30.0000000000
M30,161,2026.07.07 15:00,CADJPY,30.0000000000
M30,161,2026.07.07 15:00,CHFJPY,70.0000000000
M30,161,2026.07.07 15:00,EURAUD,43.3333333333
M30,161,2026.07.07 15:00,EURCAD,76.6666666667
M30,161,2026.07.07 15:00,EURCHF,30.0000000000
M30,161,2026.07.07 15:00,EURGBP,70.0000000000
M30,161,2026.07.07 15:00,EURJPY,63.3333333333
M30,161,2026.07.07 15:00,EURNZD,50.0000000000
M30,161,2026.07.07 15:00,EURUSD,70.0000000000
M30,161,2026.07.07 15:00,GBPAUD,20.0000000000
M30,161,2026.07.07 15:00,GBPCAD,63.3333333333
M30,161,2026.07.07 15:00,GBPCHF,30.0000000000
M30,161,2026.07.07 15:00,GBPJPY,30.0000000000
M30,161,2026.07.07 15:00,GBPNZD,23.3333333333
M30,161,2026.07.07 15:00,GBPUSD,63.3333333333
M30,161,2026.07.07 15:00,NZDCAD,70.0000000000
M30,161,2026.07.07 15:00,NZDCHF,30.0000000000
M30,161,2026.07.07 15:00,NZDJPY,43.3333333333
M30,161,2026.07.07 15:00,NZDUSD,70.0000000000
M30,161,2026.07.07 15:00,USDCAD,63.3333333333
M30,161,2026.07.07 15:00,USDCHF,30.0000000000
M30,161,2026.07.07 15:00,USDJPY,30.0000000000
M30,201,2026.07.06 19:00,AUDCAD,76.6666666667
M30,201,2026.07.06 19:00,AUDCHF,63.3333333333
M30,201,2026.07.06 19:00,AUDJPY,63.3333333333
M30,201,2026.07.06 19:00,AUDNZD,46.6666666667
M30,201,2026.07.06 19:00,AUDUSD,76.6666666667
M30,201,2026.07.06 19:00,CADCHF,63.3333333333
M30,201,2026.07.06 19:00,CADJPY,53.3333333333
M30,201,2026.07.06 19:00,CHFJPY,33.3333333333
M30,201,2026.07.06 19:00,EURAUD,53.3333333333
M30,201,2026.07.06 19:00,EURCAD,73.3333333333
M30,201,2026.07.06 19:00,EURCHF,76.6666666667
M30,201,2026.07.06 19:00,EURGBP,23.3333333333
M30,201,2026.07.06 19:00,EURJPY,76.6666666667
M30,201,2026.07.06 19:00,EURNZD,23.3333333333
M30,201,2026.07.06 19:00,EURUSD,83.3333333333
M30,201,2026.07.06 19:00,GBPAUD,73.3333333333
M30,201,2026.07.06 19:00,GBPCAD,83.3333333333
M30,201,2026.07.06 19:00,GBPCHF,76.6666666667
M30,201,2026.07.06 19:00,GBPJPY,76.6666666667
M30,201,2026.07.06 19:00,GBPNZD,66.6666666667
M30,201,2026.07.06 19:00,GBPUSD,83.3333333333
M30,201,2026.07.06 19:00,NZDCAD,83.3333333333
M30,201,2026.07.06 19:00,NZDCHF,83.3333333333
M30,201,2026.07.06 19:00,NZDJPY,83.3333333333
M30,201,2026.07.06 19:00,NZDUSD,83.3333333333
M30,201,2026.07.06 19:00,USDCAD,23.3333333333
M30,201,2026.07.06 19:00,USDCHF,53.3333333333
M30,201,2026.07.06 19:00,USDJPY,26.6666666667
M30,241,2026.07.03 23:00,AUDCAD,33.3333333333
M30,241,2026.07.03 23:00,AUDCHF,63.3333333333
M30,241,2026.07.03 23:00,AUDJPY,53.3333333333
M30,241,2026.07.03 23:00,AUDNZD,63.3333333333
M30,241,2026.07.03 23:00,AUDUSD,20.0000000000
M30,241,2026.07.03 23:00,CADCHF,80.0000000000
M30,241,2026.07.03 23:00,CADJPY,56.6666666667
M30,241,2026.07.03 23:00,CHFJPY,66.6666666667
M30,241,2026.07.03 23:00,EURAUD,56.6666666667
M30,241,2026.07.03 23:00,EURCAD,50.0000000000
M30,241,2026.07.03 23:00,EURCHF,53.3333333333
M30,241,2026.07.03 23:00,EURGBP,56.6666666667
M30,241,2026.07.03 23:00,EURJPY,66.6666666667
M30,241,2026.07.03 23:00,EURNZD,66.6666666667
M30,241,2026.07.03 23:00,EURUSD,20.0000000000
M30,241,2026.07.03 23:00,GBPAUD,36.6666666667
M30,241,2026.07.03 23:00,GBPCAD,56.6666666667
M30,241,2026.07.03 23:00,GBPCHF,50.0000000000
M30,241,2026.07.03 23:00,GBPJPY,56.6666666667
M30,241,2026.07.03 23:00,GBPNZD,56.6666666667
M30,241,2026.07.03 23:00,GBPUSD,20.0000000000
M30,241,2026.07.03 23:00,NZDCAD,23.3333333333
M30,241,2026.07.03 23:00,NZDCHF,53.3333333333
M30,241,2026.07.03 23:00,NZDJPY,53.3333333333
M30,241,2026.07.03 23:00,NZDUSD,16.6666666667
M30,241,2026.07.03 23:00,USDCAD,63.3333333333
M30,241,2026.07.03 23:00,USDCHF,76.6666666667
M30,241,2026.07.03 23:00,USDJPY,73.3333333333
M30,281,2026.07.03 03:00,AUDCAD,30.0000000000
M30,281,2026.07.03 03:00,AUDCHF,60.0000000000
M30,281,2026.07.03 03:00,AUDJPY,63.3333333333
M30,281,2026.07.03 03:00,AUDNZD,46.6666666667
M30,281,2026.07.03 03:00,AUDUSD,20.0000000000
M30,281,2026.07.03 03:00,CADCHF,53.3333333333
M30,281,2026.07.03 03:00,CADJPY,60.0000000000
M30,281,2026.07.03 03:00,CHFJPY,73.3333333333
M30,281,2026.07.03 03:00,EURAUD,66.6666666667
M30,281,2026.07.03 03:00,EURCAD,53.3333333333
M30,281,2026.07.03 03:00,EURCHF,76.6666666667
M30,281,2026.07.03 03:00,EURGBP,43.3333333333
M30,281,2026.07.03 03:00,EURJPY,73.3333333333
M30,281,2026.07.03 03:00,EURNZD,66.6666666667
M30,281,2026.07.03 03:00,EURUSD,23.3333333333
M30,281,2026.07.03 03:00,GBPAUD,63.3333333333
M30,281,2026.07.03 03:00,GBPCAD,46.6666666667
M30,281,2026.07.03 03:00,GBPCHF,76.6666666667
M30,281,2026.07.03 03:00,GBPJPY,73.3333333333
M30,281,2026.07.03 03:00,GBPNZD,50.0000000000
M30,281,2026.07.03 03:00,GBPUSD,23.3333333333
M30,281,2026.07.03 03:00,NZDCAD,43.3333333333
M30,281,2026.07.03 03:00,NZDCHF,73.3333333333
M30,281,2026.07.03 03:00,NZDJPY,76.6666666667
M30,281,2026.07.03 03:00,NZDUSD,20.0000000000
M30,281,2026.07.03 03:00,USDCAD,80.0000000000
M30,281,2026.07.03 03:00,USDCHF,73.3333333333
M30,281,2026.07.03 03:00,USDJPY,76.6666666667
M30,321,2026.07.02 07:00,AUDCAD,30.0000000000
M30,321,2026.07.02 07:00,AUDCHF,20.0000000000
M30,321,2026.07.02 07:00,AUDJPY,20.0000000000
M30,321,2026.07.02 07:00,AUDNZD,30.0000000000
M30,321,2026.07.02 07:00,AUDUSD,50.0000000000
M30,321,2026.07.02 07:00,CADCHF,20.0000000000
M30,321,2026.07.02 07:00,CADJPY,20.0000000000
M30,321,2026.07.02 07:00,CHFJPY,30.0000000000
M30,321,2026.07.02 07:00,EURAUD,86.6666666667
M30,321,2026.07.02 07:00,EURCAD,80.0000000000
M30,321,2026.07.02 07:00,EURCHF,56.6666666667
M30,321,2026.07.02 07:00,EURGBP,43.3333333333
M30,321,2026.07.02 07:00,EURJPY,33.3333333333
M30,321,2026.07.02 07:00,EURNZD,50.0000000000
M30,321,2026.07.02 07:00,EURUSD,86.6666666667
M30,321,2026.07.02 07:00,GBPAUD,80.0000000000
M30,321,2026.07.02 07:00,GBPCAD,73.3333333333
M30,321,2026.07.02 07:00,GBPCHF,70.0000000000
M30,321,2026.07.02 07:00,GBPJPY,30.0000000000
M30,321,2026.07.02 07:00,GBPNZD,56.6666666667
M30,321,2026.07.02 07:00,GBPUSD,80.0000000000
M30,321,2026.07.02 07:00,NZDCAD,66.6666666667
M30,321,2026.07.02 07:00,NZDCHF,50.0000000000
M30,321,2026.07.02 07:00,NZDJPY,43.3333333333
M30,321,2026.07.02 07:00,NZDUSD,70.0000000000
M30,321,2026.07.02 07:00,USDCAD,36.6666666667
M30,321,2026.07.02 07:00,USDCHF,26.6666666667
M30,321,2026.07.02 07:00,USDJPY,20.0000000000
M30,361,2026.07.01 11:00,AUDCAD,43.3333333333
M30,361,2026.07.01 11:00,AUDCHF,70.0000000000
M30,361,2026.07.01 11:00,AUDJPY,30.0000000000
M30,361,2026.07.01 11:00,AUDNZD,36.6666666667
M30,361,2026.07.01 11:00,AUDUSD,43.3333333333
M30,361,2026.07.01 11:00,CADCHF,73.3333333333
M30,361,2026.07.01 11:00,CADJPY,20.0000000000
M30,361,2026.07.01 11:00,CHFJPY,20.0000000000
M30,361,2026.07.01 11:00,EURAUD,26.6666666667
M30,361,2026.07.01 11:00,EURCAD,50.0000000000
M30,361,2026.07.01 11:00,EURCHF,73.3333333333
