tf,anchor_shift,bar_time,currency,vel,acel,zvel,zS,cesta
M30,7,2025.09.30 20:30,USD,27.2014765919,45.3297339680,0.6700048566,0.2138755777,0.5714285714
M30,7,2025.09.30 20:30,EUR,6.3423262851,12.8661586554,0.3047242999,-0.5303087627,0.7142857143
M30,7,2025.09.30 20:30,GBP,-25.0182327881,-40.9763257361,-0.8564655952,-1.2922857635,0.8571428571
M30,7,2025.09.30 20:30,JPY,-7.0561570926,-3.9698516068,-0.2448609790,1.1692201097,0.5714285714
M30,7,2025.09.30 20:30,CHF,-11.3971665913,-24.1450252461,-0.4072632514,0.3980501454,0.7142857143
M30,7,2025.09.30 20:30,CAD,30.7272410838,45.7919931864,1.0628207970,0.7293874881,0.8571428571
M30,7,2025.09.30 20:30,AUD,-9.0250587996,-16.3648541157,-0.3152371694,1.0178073420,0.7142857143
M30,7,2025.09.30 20:30,NZD,-11.7744286892,-18.5318291051,-0.4167465754,-1.7057461367,0.8571428571
M30,8,2025.09.30 20:00,USD,-0.6699826644,30.9151543926,-0.0161415764,-1.3956923846,1.0000000000
M30,8,2025.09.30 20:00,EUR,16.8398616481,28.0029879234,0.8239008678,0.4076220248,0.7142857143
M30,8,2025.09.30 20:00,GBP,17.6343270934,16.9440253070,0.6150389553,0.5560055255,0.8571428571
M30,8,2025.09.30 20:00,JPY,2.8950957858,10.5593774671,0.0997817308,0.4506309793,0.5714285714
M30,8,2025.09.30 20:00,CHF,14.7837853561,-12.1469400173,0.5714288737,1.9132808172,1.0000000000
M30,8,2025.09.30 20:00,CAD,-28.9345003400,-51.4739882140,-1.0244681541,-1.0266677751,0.8571428571
M30,8,2025.09.30 20:00,AUD,-16.2810325586,-11.5726593954,-0.5391926587,-0.0995232100,0.5714285714
M30,8,2025.09.30 20:00,NZD,-6.2675543204,-11.2279574635,-0.2194207862,-0.8056559772,0.7142857143
M30,9,2025.09.30 19:30,USD,-10.4557929476,11.2567770032,-0.2407153762,-1.4409049189,1.0000000000
M30,9,2025.09.30 19:30,EUR,34.2317516694,68.4245595886,1.6514266600,0.7167704785,0.8571428571
M30,9,2025.09.30 19:30,GBP,-5.4790499565,-14.6988420088,-0.1913649368,0.0289801629,0.5714285714
