tf,bar_time,currency,S,vel3,vel6,vel12,acel6,pers12,efic12
H1,2026.07.03 22:00,USD,71.9047619048,14.7619047619,13.3333333333,39.5238095238,-12.8571428571,0.5833333333,0.3971291866
H1,2026.07.03 22:00,EUR,45.7142857143,0.0000000000,-5.2380952381,-1.4285714286,-9.0476190476,0.5000000000,0.0127659574
H1,2026.07.03 22:00,GBP,57.6190476190,-0.9523809524,12.8571428571,9.0476190476,16.6666666667,0.4545454545,0.1292517007
H1,2026.07.03 22:00,JPY,40.9523809524,15.2380952381,6.6666666667,-26.1904761905,39.5238095238,0.3636363636,0.1957295374
H1,2026.07.03 22:00,CHF,32.8571428571,-4.7619047619,-6.6666666667,-11.9047619048,-1.4285714286,0.5833333333,0.1243781095
H1,2026.07.03 22:00,CAD,44.2857142857,8.0952380952,-1.4285714286,19.5238095238,-22.3809523810,0.4166666667,0.1659919028
H1,2026.07.03 22:00,AUD,63.3333333333,-10.4761904762,-0.4761904762,-2.8571428571,1.9047619048,0.5000000000,0.0576923077
H1,2026.07.03 22:00,NZD,43.3333333333,-21.9047619048,-19.0476190476,-25.7142857143,-12.3809523810,0.5000000000,0.2045454545
H4,2026.07.03 16:00,USD,45.7142857143,28.0952380952,20.0000000000,10.0000000000,30.0000000000,0.6666666667,0.0747330961
H4,2026.07.03 16:00,EUR,38.0952380952,-9.5238095238,4.2857142857,9.0476190476,-0.4761904762,0.7272727273,0.1061452514
H4,2026.07.03 16:00,GBP,66.1904761905,3.3333333333,11.9047619048,-8.5714285714,32.3809523810,0.5000000000,0.1084337349
H4,2026.07.03 16:00,JPY,40.0000000000,-8.0952380952,-28.5714285714,-1.9047619048,-55.2380952381,0.6666666667,0.0186915888
H4,2026.07.03 16:00,CHF,51.9047619048,-7.1428571429,-15.7142857143,-3.3333333333,-28.0952380952,0.6666666667,0.0786516854
H4,2026.07.03 16:00,CAD,35.7142857143,-1.4285714286,-1.9047619048,-11.4285714286,7.6190476190,0.5833333333,0.1666666667
H4,2026.07.03 16:00,AUD,60.4761904762,-2.8571428571,4.7619047619,9.0476190476,0.4761904762,0.5000000000,0.0837004405
H4,2026.07.03 16:00,NZD,61.9047619048,-2.3809523810,5.2380952381,-2.8571428571,13.3333333333,0.5000000000,0.0315789474
D1,2026.07.02 00:00,USD,43.3333333333,-21.9047619048,-37.6190476190,-17.6190476190,-57.6190476190,0.5000000000,0.1957671958
D1,2026.07.02 00:00,EUR,43.8095238095,-15.7142857143,-3.8095238095,-22.3809523810,14.7619047619,0.5454545455,0.2625698324
D1,2026.07.02 00:00,GBP,72.8571428571,-4.7619047619,20.4761904762,10.9523809524,30.0000000000,0.5000000000,0.0881226054
D1,2026.07.02 00:00,JPY,63.3333333333,15.7142857143,-6.6666666667,20.4761904762,-33.8095238095,0.5454545455,0.1726907631
D1,2026.07.02 00:00,CHF,64.2857142857,9.0476190476,22.3809523810,6.6666666667,38.0952380952,0.4166666667,0.0625000000
D1,2026.07.02 00:00,CAD,32.8571428571,-5.2380952381,-18.0952380952,4.7619047619,-40.9523809524,0.3333333333,0.0588235294
D1,2026.07.02 00:00,AUD,33.8095238095,10.9523809524,3.3333333333,-8.5714285714,15.2380952381,0.5000000000,0.0687022901
D1,2026.07.02 00:00,NZD,45.7142857143,11.9047619048,20.0000000000,5.7142857143,34.2857142857,0.5000000000,0.0722891566
M30,2026.06.26 22:30,USD,51.4285714286,-10.0000000000,-24.2857142857,20.4761904762,-69.0476190476,0.5000000000,0.1232091691
M30,2026.06.26 22:30,EUR,43.3333333333,-8.0952380952,0.4761904762,-20.4761904762,21.4285714286,0.3333333333,0.2182741117
M30,2026.06.26 22:30,GBP,37.6190476190,-14.2857142857,-10.9523809524,-15.2380952381,-6.6666666667,0.5833333333,0.1428571429
