time,open,high,low,close,tick_volume,real_volume,spread
2022.01.03 00:00:00,1.86079000,1.86186000,1.85991000,1.86084000,132,0,135
2022.01.03 00:30:00,1.86041000,1.86239000,1.86039000,1.86120000,775,0,102
2022.01.03 01:00:00,1.86118000,1.86182000,1.85890000,1.85891000,712,0,17
2022.01.03 01:30:00,1.85891000,1.86041000,1.85888000,1.86026000,321,0,16
2022.01.03 02:00:00,1.86045000,1.86094000,1.85917000,1.85968000,582,0,5
2022.01.03 02:30:00,1.85975000,1.86102000,1.85972000,1.86045000,894,0,6
2022.01.03 03:00:00,1.86044000,1.86079000,1.85878000,1.85964000,721,0,4
2022.01.03 03:30:00,1.85970000,1.86347000,1.85961000,1.86301000,1670,0,3
2022.01.03 04:00:00,1.86300000,1.86416000,1.86274000,1.86280000,1105,0,5
2022.01.03 04:30:00,1.86280000,1.86328000,1.86167000,1.86210000,862,0,6
2022.01.03 05:00:00,1.86195000,1.86320000,1.86144000,1.86308000,776,0,6
2022.01.03 05:30:00,1.86312000,1.86423000,1.86179000,1.86231000,1027,0,6
2022.01.03 06:00:00,1.86236000,1.86277000,1.86190000,1.86195000,393,0,6
2022.01.03 06:30:00,1.86195000,1.86269000,1.86187000,1.86212000,320,0,6
2022.01.03 07:00:00,1.86202000,1.86261000,1.86185000,1.86245000,414,0,6
2022.01.03 07:30:00,1.86250000,1.86310000,1.86176000,1.86293000,490,0,6
2022.01.03 08:00:00,1.86293000,1.86334000,1.86251000,1.86308000,673,0,6
2022.01.03 08:30:00,1.86305000,1.86321000,1.86196000,1.86196000,748,0,6
2022.01.03 09:00:00,1.86198000,1.86240000,1.86150000,1.86186000,1062,0,6
2022.01.03 09:30:00,1.86187000,1.86190000,1.86056000,1.86110000,982,0,6
2022.01.03 10:00:00,1.86113000,1.86139000,1.86032000,1.86072000,1784,0,6
2022.01.03 10:30:00,1.86071000,1.86244000,1.86048000,1.86235000,1497,0,6
2022.01.03 11:00:00,1.86234000,1.86335000,1.86222000,1.86254000,936,0,6
2022.01.03 11:30:00,1.86253000,1.86377000,1.86195000,1.86304000,1326,0,6
2022.01.03 12:00:00,1.86304000,1.86417000,1.86245000,1.86249000,1125,0,6
2022.01.03 12:30:00,1.86249000,1.86386000,1.86211000,1.86368000,1297,0,6
2022.01.03 13:00:00,1.86362000,1.86503000,1.86328000,1.86439000,1546,0,5
2022.01.03 13:30:00,1.86439000,1.86504000,1.86391000,1.86395000,1241,0,3
2022.01.03 14:00:00,1.86396000,1.86542000,1.86391000,1.86432000,1038,0,6
2022.01.03 14:30:00,1.86437000,1.86491000,1.86388000,1.86437000,848,0,4
2022.01.03 15:00:00,1.86437000,1.86570000,1.86381000,1.86560000,1569,0,6
2022.01.03 15:30:00,1.86560000,1.86763000,1.86535000,1.86722000,2073,0,6
2022.01.03 16:00:00,1.86722000,1.86944000,1.86722000,1.86942000,2313,0,1
2022.01.03 16:30:00,1.86941000,1.87174000,1.86928000,1.87041000,3825,0,1
2022.01.03 17:00:00,1.87033000,1.87149000,1.86928000,1.86978000,3127,0,6
2022.01.03 17:30:00,1.86978000,1.87130000,1.86830000,1.87106000,2527,0,0
2022.01.03 18:00:00,1.87107000,1.87143000,1.86942000,1.87119000,2073,0,2
2022.01.03 18:30:00,1.87117000,1.87247000,1.87117000,1.87198000,2119,0,6
2022.01.03 19:00:00,1.87198000,1.87357000,1.87190000,1.87258000,1577,0,5
2022.01.03 19:30:00,1.87257000,1.87332000,1.87120000,1.87194000,855,0,2
2022.01.03 20:00:00,1.87194000,1.87229000,1.87147000,1.87226000,765,0,4
2022.01.03 20:30:00,1.87226000,1.87272000,1.87204000,1.87218000,516,0,6
2022.01.03 21:00:00,1.87223000,1.87483000,1.87223000,1.87481000,756,0,6
2022.01.03 21:30:00,1.87481000,1.87535000,1.87393000,1.87524000,1178,0,6
2022.01.03 22:00:00,1.87524000,1.87533000,1.87435000,1.87525000,883,0,6
2022.01.03 22:30:00,1.87522000,1.87583000,1.87469000,1.87536000,915,0,6
2022.01.03 23:00:00,1.87536000,1.87586000,1.87486000,1.87502000,615,0,6
