tf,anchor_shift,bar_time,pair,ifm_light
M30,4,2025.09.26 21:30,EURCAD,77.1905112623
M30,4,2025.09.26 21:30,EURCHF,37.7071864958
M30,4,2025.09.26 21:30,EURGBP,37.0179278173
M30,4,2025.09.26 21:30,EURJPY,44.1509998925
M30,4,2025.09.26 21:30,EURNZD,45.1094889447
M30,4,2025.09.26 21:30,EURUSD,77.9780487580
M30,4,2025.09.26 21:30,GBPAUD,60.3626034163
M30,4,2025.09.26 21:30,GBPCAD,73.5985563339
M30,4,2025.09.26 21:30,GBPCHF,50.3349796370
M30,4,2025.09.26 21:30,GBPJPY,45.1491098454
M30,4,2025.09.26 21:30,GBPNZD,63.1961678643
M30,4,2025.09.26 21:30,GBPUSD,74.5206316704
M30,4,2025.09.26 21:30,NZDCAD,78.4967683120
M30,4,2025.09.26 21:30,NZDCHF,35.6693067241
M30,4,2025.09.26 21:30,NZDJPY,44.2652445778
M30,4,2025.09.26 21:30,NZDUSD,77.8854610696
M30,4,2025.09.26 21:30,USDCAD,32.7580837772
M30,4,2025.09.26 21:30,USDCHF,22.1833536776
M30,4,2025.09.26 21:30,USDJPY,23.0843696311
M30,5,2025.09.26 21:00,AUDCAD,54.8194753268
M30,5,2025.09.26 21:00,AUDCHF,67.0707468189
M30,5,2025.09.26 21:00,AUDJPY,70.7131607595
M30,5,2025.09.26 21:00,AUDNZD,46.1912383783
M30,5,2025.09.26 21:00,AUDUSD,55.8022630991
M30,5,2025.09.26 21:00,CADCHF,45.2141769801
M30,5,2025.09.26 21:00,CADJPY,51.0539074442
M30,5,2025.09.26 21:00,CHFJPY,67.5351594989
M30,5,2025.09.26 21:00,EURAUD,50.0663810854
M30,5,2025.09.26 21:00,EURCAD,56.2598458154
M30,5,2025.09.26 21:00,EURCHF,68.4967788893
M30,5,2025.09.26 21:00,EURGBP,50.0530081621
M30,5,2025.09.26 21:00,EURJPY,71.6790675326
M30,5,2025.09.26 21:00,EURNZD,48.9641490157
M30,5,2025.09.26 21:00,EURUSD,71.1613444880
M30,5,2025.09.26 21:00,GBPAUD,60.8267122399
M30,5,2025.09.26 21:00,GBPCAD,53.2563700433
M30,5,2025.09.26 21:00,GBPCHF,65.1577296404
M30,5,2025.09.26 21:00,GBPJPY,68.4346124901
M30,5,2025.09.26 21:00,GBPNZD,51.3236150781
M30,5,2025.09.26 21:00,GBPUSD,54.3157699738
M30,5,2025.09.26 21:00,NZDCAD,62.1625826648
M30,5,2025.09.26 21:00,NZDCHF,56.2084734579
M30,5,2025.09.26 21:00,NZDJPY,76.5138112012
M30,5,2025.09.26 21:00,NZDUSD,70.0991178392
M30,5,2025.09.26 21:00,USDCAD,32.5615433676
M30,5,2025.09.26 21:00,USDCHF,44.1856580084
M30,5,2025.09.26 21:00,USDJPY,46.6817192991
M30,6,2025.09.26 20:30,AUDCAD,50.1967248674
M30,6,2025.09.26 20:30,AUDCHF,54.8674081548
M30,6,2025.09.26 20:30,AUDJPY,58.5859603894
M30,6,2025.09.26 20:30,AUDNZD,55.5599883357
M30,6,2025.09.26 20:30,AUDUSD,57.9206745723
M30,6,2025.09.26 20:30,CADCHF,28.9769778190
M30,6,2025.09.26 20:30,CADJPY,34.0907890309
M30,6,2025.09.26 20:30,CHFJPY,67.4145379839
M30,6,2025.09.26 20:30,EURAUD,52.7849102080
M30,6,2025.09.26 20:30,EURCAD,70.9580957406
M30,6,2025.09.26 20:30,EURCHF,55.6911119446
M30,6,2025.09.26 20:30,EURGBP,48.5730272652
M30,6,2025.09.26 20:30,EURJPY,67.9414644355
M30,6,2025.09.26 20:30,EURNZD,67.3171131957
M30,6,2025.09.26 20:30,EURUSD,72.8370853082
M30,6,2025.09.26 20:30,GBPAUD,58.6499451424
M30,6,2025.09.26 20:30,GBPCAD,68.1717748973
M30,6,2025.09.26 20:30,GBPCHF,51.8079340723
M30,6,2025.09.26 20:30,GBPJPY,68.4181453672
M30,6,2025.09.26 20:30,GBPNZD,65.4422424142
M30,6,2025.09.26 20:30,GBPUSD,69.1954595050
M30,6,2025.09.26 20:30,NZDCAD,57.5819448943
M30,6,2025.09.26 20:30,NZDCHF,40.8651588392
M30,6,2025.09.26 20:30,NZDJPY,51.3405690537
M30,6,2025.09.26 20:30,NZDUSD,71.5343964339
M30,6,2025.09.26 20:30,USDCAD,30.8278495895
M30,6,2025.09.26 20:30,USDCHF,27.9893362481
M30,6,2025.09.26 20:30,USDJPY,30.7536163541
M30,7,2025.09.26 20:00,AUDCAD,72.5234064370
M30,7,2025.09.26 20:00,AUDCHF,61.7007463974
M30,7,2025.09.26 20:00,AUDJPY,76.0136422779
M30,7,2025.09.26 20:00,AUDNZD,71.3008257361
M30,7,2025.09.26 20:00,AUDUSD,73.3674417783
M30,7,2025.09.26 20:00,CADCHF,25.4093076339
M30,7,2025.09.26 20:00,CADJPY,35.2354999984
M30,7,2025.09.26 20:00,CHFJPY,68.2851027878
M30,7,2025.09.26 20:00,EURAUD,39.4296276432
M30,7,2025.09.26 20:00,EURCAD,66.9591902403
M30,7,2025.09.26 20:00,EURCHF,39.9971758917
M30,7,2025.09.26 20:00,EURGBP,46.6686584497
M30,7,2025.09.26 20:00,EURJPY,64.9923438743
M30,7,2025.09.26 20:00,EURNZD,49.5724364642
M30,7,2025.09.26 20:00,EURUSD,77.0464860615
M30,7,2025.09.26 20:00,GBPAUD,40.9891756543
M30,7,2025.09.26 20:00,GBPCAD,67.1861263807
M30,7,2025.09.26 20:00,GBPCHF,53.1017551186
M30,7,2025.09.26 20:00,GBPJPY,54.9392654608
M30,7,2025.09.26 20:00,GBPNZD,50.9849245407
M30,7,2025.09.26 20:00,GBPUSD,68.9793049832
M30,7,2025.09.26 20:00,NZDCAD,71.9821774218
M30,7,2025.09.26 20:00,NZDCHF,42.4462707829
M30,7,2025.09.26 20:00,NZDJPY,67.1952177444
M30,7,2025.09.26 20:00,NZDUSD,73.1345006919
M30,7,2025.09.26 20:00,USDCAD,29.8306479328
M30,7,2025.09.26 20:00,USDCHF,23.0388540324
M30,7,2025.09.26 20:00,USDJPY,31.0165799763
M30,8,2025.09.26 19:30,AUDCAD,60.9146919828
M30,8,2025.09.26 19:30,AUDCHF,83.3333333333
