time_epoch,time_server,open,high,low,close,tick_volume,spread
1768089600,2026.01.11 00:00,1.38808,1.39286,1.38545,1.39152,257865,0
1768694400,2026.01.18 00:00,1.39121,1.39168,1.36935,1.36989,315727,0
1769299200,2026.01.25 00:00,1.37013,1.37392,1.34815,1.36153,518745,0
1769904000,2026.02.01 00:00,1.36108,1.37244,1.36073,1.36736,521431,2
1770508800,2026.02.08 00:00,1.36602,1.36735,1.35040,1.36171,410234,0
1771113600,2026.02.15 00:00,1.36136,1.37146,1.36034,1.36797,340575,0
1771718400,2026.02.22 00:00,1.36773,1.37248,1.36250,1.36415,350260,1
1772323200,2026.03.01 00:00,1.36437,1.37527,1.35604,1.35635,633588,1
1772928000,2026.03.08 00:00,1.35910,1.37415,1.35254,1.37158,568422,0
1773532800,2026.03.15 00:00,1.37136,1.37481,1.36529,1.37209,449498,1
1774137600,2026.03.22 00:00,1.37255,1.38955,1.36699,1.38943,493859,1
1774742400,2026.03.29 00:00,1.38831,1.39665,1.38691,1.39429,370086,1
1775347200,2026.04.05 00:00,1.39359,1.39476,1.37991,1.38327,365065,1
1775952000,2026.04.12 00:00,1.38617,1.38778,1.36492,1.36869,328897,1
1776556800,2026.04.19 00:00,1.36955,1.37142,1.36310,1.36642,373082,1
1777161600,2026.04.26 00:00,1.36763,1.37108,1.35501,1.35884,436990,1
1777766400,2026.05.03 00:00,1.35871,1.37100,1.35770,1.36723,419498,1
1778371200,2026.05.10 00:00,1.36831,1.37669,1.36481,1.37477,414383,1
1778976000,2026.05.17 00:00,1.37478,1.38240,1.37270,1.38163,451710,1
1779580800,2026.05.24 00:00,1.38070,1.38698,1.37703,1.37875,352003,1
1780185600,2026.05.31 00:00,1.37928,1.39503,1.37893,1.39372,367790,1
1780790400,2026.06.07 00:00,1.39378,1.40238,1.38989,1.39874,488323,0
1781395200,2026.06.14 00:00,1.39646,1.41832,1.39504,1.41469,375066,0
1782000000,2026.06.21 00:00,1.41619,1.42481,1.41439,1.41855,454714,0
1782604800,2026.06.28 00:00,1.41875,1.42475,1.41501,1.41971,428052,0
