key,value
broker,MetaQuotes Ltd.
server,MetaQuotes-Demo
time_current,2026.07.10 23:59:58
time_gmt,2026.07.11 16:20:48
time_tradeserver,2026.07.11 19:20:48
gmt_offset_seconds,10800
export_from,2022.01.01 00:00
export_to,2026.07.11 00:00
