moeda,dia,direcao,magnitude_atrs,n_pares_alinhados,eficiencia,ancora_a2010,ancora_romp,fim,duracao_min_a2010,sessoes_cobertas,sessao_nascimento,split
JPY,2023-06-13,-1,1.1196,7,0.4962,2023-06-13 09:30:00,2023-06-13 07:00:00,2023-06-14 00:00:00,870,toquio+londres+ny,toquio,treino
JPY,2023-06-15,-1,1.257,7,0.4019,2023-06-15 04:00:00,2023-06-15 03:30:00,2023-06-15 22:00:00,1080,toquio+londres+ny,toquio,treino
JPY,2023-06-16,-1,1.3981,7,0.3564,2023-06-16 08:30:00,2023-06-16 07:00:00,2023-06-16 21:30:00,780,toquio+londres+ny,toquio,treino
AUD,2023-06-23,-1,1.0533,7,0.413,2023-06-23 05:00:00,2023-06-23 04:30:00,2023-06-23 17:00:00,720,toquio+londres+ny,toquio,treino
CAD,2023-07-06,-1,1.0549,7,0.5115,2023-07-06 09:00:00,2023-07-06 03:30:00,2023-07-06 23:30:00,870,toquio+londres+ny,toquio,treino
USD,2023-07-07,-1,1.2062,7,0.5939,2023-07-07 15:30:00,2023-07-07 07:30:00,2023-07-07 20:00:00,270,londres+ny,londres,treino
USD,2023-07-12,-1,1.306,7,0.429,2023-07-12 16:00:00,2023-07-12 03:30:00,2023-07-12 22:00:00,360,londres+ny,londres,treino
USD,2023-07-13,-1,1.1172,7,0.3933,2023-07-13 09:30:00,2023-07-13 09:30:00,2023-07-13 22:30:00,780,toquio+londres+ny,toquio,treino
JPY,2023-07-21,-1,1.1764,7,0.3547,2023-07-21 05:30:00,2023-07-21 03:30:00,2023-07-21 12:00:00,390,toquio+londres,toquio,treino
JPY,2023-07-27,1,1.3136,7,0.3048,2023-07-27 20:30:00,2023-07-27 20:30:00,2023-07-27 23:00:00,150,ny,ny,treino
JPY,2023-07-31,-1,1.0585,7,0.5486,2023-07-31 04:30:00,2023-07-31 03:30:00,2023-07-31 17:00:00,750,toquio+londres+ny,toquio,treino
AUD,2023-08-01,-1,1.0718,7,0.5115,2023-08-01 08:00:00,2023-08-01 05:00:00,2023-08-01 20:30:00,750,toquio+londres+ny,toquio,treino
USD,2023-08-24,1,1.0111,7,0.4112,2023-08-24 10:30:00,2023-08-24 07:00:00,2023-08-24 23:00:00,750,toquio+londres+ny,toquio,treino
EUR,2023-08-31,-1,1.2882,7,0.6296,2023-08-31 10:30:00,2023-08-31 03:30:00,2023-09-01 00:00:00,810,toquio+londres+ny,toquio,treino
EUR,2023-09-14,-1,1.2832,7,0.5237,2023-09-14 15:30:00,2023-09-14 12:00:00,2023-09-14 22:00:00,390,londres+ny,londres,treino
AUD,2023-09-28,1,1.1502,7,0.4107,2023-09-28 04:30:00,2023-09-28 03:30:00,2023-09-29 00:00:00,1170,toquio+londres+ny,toquio,treino
CAD,2023-09-29,-1,1.1216,7,0.4374,2023-09-29 17:30:00,2023-09-29 16:00:00,2023-09-30 00:00:00,390,londres+ny,londres,treino
USD,2023-10-02,1,1.023,7,0.3777,2023-10-02 12:30:00,2023-10-02 11:00:00,2023-10-03 00:00:00,690,londres+ny,londres,treino
AUD,2023-10-03,-1,1.11,7,0.3705,2023-10-03 06:00:00,2023-10-03 04:30:00,2023-10-03 21:30:00,930,toquio+londres+ny,toquio,treino
JPY,2023-10-03,1,1.3021,7,0.3689,2023-10-03 07:30:00,2023-10-03 03:30:00,2023-10-03 23:00:00,930,toquio+londres+ny,toquio,treino
JPY,2023-10-06,-1,1.0141,7,0.417,2023-10-06 09:30:00,2023-10-06 03:30:00,2023-10-06 21:30:00,720,toquio+londres+ny,toquio,treino
USD,2023-10-12,1,1.2715,7,0.5402,2023-10-12 16:00:00,2023-10-12 10:30:00,2023-10-12 22:00:00,360,londres+ny,londres,treino
CHF,2023-10-13,1,1.1843,7,0.4679,2023-10-13 16:00:00,2023-10-13 12:00:00,2023-10-13 20:30:00,270,londres+ny,londres,treino
CHF,2023-10-19,1,1.0402,7,0.5406,2023-10-19 09:00:00,2023-10-19 03:30:00,2023-10-19 23:30:00,870,toquio+londres+ny,toquio,treino
JPY,2023-10-27,1,1.0776,7,0.6318,2023-10-27 09:00:00,2023-10-27 03:30:00,2023-10-27 21:30:00,750,toquio+londres+ny,toquio,treino
JPY,2023-10-31,-1,2.0375,7,0.5472,2023-10-31 05:30:00,2023-10-31 02:30:00,2023-10-31 21:00:00,930,toquio+londres+ny,toquio,treino
USD,2023-10-31,1,1.0485,7,0.419,2023-10-31 05:30:00,2023-10-31 02:30:00,2023-10-31 19:00:00,810,toquio+londres+ny,toquio,treino
GBP,2023-11-03,1,1.0025,6,0.5447,2023-11-03 14:30:00,2023-11-03 12:00:00,2023-11-03 20:00:00,330,londres+ny,londres,treino
NZD,2023-11-03,1,1.0366,7,0.4075,2023-11-03 10:30:00,2023-11-03 08:00:00,2023-11-04 00:00:00,810,toquio+londres+ny,toquio,treino
USD,2023-11-03,-1,1.5507,7,0.475,2023-11-03 13:30:00,2023-11-03 04:00:00,2023-11-03 19:00:00,330,londres+ny,londres,treino
NZD,2023-11-14,1,1.1273,7,0.3963,2023-11-14 16:00:00,2023-11-14 16:00:00,2023-11-14 23:30:00,450,londres+ny,londres,treino
USD,2023-11-14,-1,2.0529,7,0.6122,2023-11-14 16:00:00,2023-11-14 16:00:00,2023-11-14 22:30:00,390,londres+ny,londres,treino
JPY,2023-11-20,1,1.0321,7,0.3856,2023-11-20 03:30:00,2023-11-20 02:30:00,2023-11-20 14:00:00,630,toquio+londres,toquio,treino
JPY,2023-11-22,-1,1.0031,7,0.4309,2023-11-22 07:30:00,2023-11-22 02:30:00,2023-11-22 23:30:00,960,toquio+londres+ny,toquio,treino
EUR,2023-11-30,-1,1.0215,7,0.3924,2023-11-30 05:00:00,2023-11-30 03:00:00,2023-11-30 18:00:00,780,toquio+londres+ny,toquio,treino
EUR,2023-12-01,-1,1.2475,7,0.3922,2023-12-01 16:00:00,2023-12-01 10:30:00,2023-12-01 22:00:00,360,londres+ny,londres,treino
AUD,2023-12-05,-1,1.0067,7,0.3813,2023-12-05 05:00:00,2023-12-05 02:30:00,2023-12-05 16:00:00,660,toquio+londres+ny,toquio,treino
JPY,2023-12-07,1,2.4511,7,0.4589,2023-12-07 07:00:00,2023-12-07 02:30:00,2023-12-07 20:00:00,780,toquio+londres+ny,toquio,treino
AUD,2023-12-13,1,1.1729,6,0.431,2023-12-13 16:00:00,2023-12-13 09:30:00,2023-12-13 23:30:00,450,londres+ny,londres,treino
JPY,2023-12-13,1,1.0635,7,0.4698,2023-12-13 20:30:00,2023-12-13 16:00:00,2023-12-14 00:00:00,210,ny,ny,treino
EUR,2023-12-15,-1,1.0655,7,0.4751,2023-12-15 10:30:00,2023-12-15 02:30:00,2023-12-15 18:30:00,480,toquio+londres+ny,toquio,treino
JPY,2023-12-19,-1,1.1797,7,0.3709,2023-12-19 05:00:00,2023-12-19 04:30:00,2023-12-19 13:00:00,480,toquio+londres,toquio,treino
JPY,2024-01-04,-1,1.0917,7,0.4841,2024-01-04 04:00:00,2024-01-04 02:30:00,2024-01-04 18:00:00,840,toquio+londres+ny,toquio,treino
JPY,2024-01-10,-1,1.2416,7,0.5814,2024-01-10 03:30:00,2024-01-10 02:30:00,2024-01-11 00:00:00,1230,toquio+londres+ny,toquio,treino
CAD,2024-01-24,-1,1.1635,7,0.5838,2024-01-24 11:00:00,2024-01-24 02:30:00,2024-01-25 00:00:00,780,toquio+londres+ny,toquio,treino
CHF,2024-01-24,1,1.0663,7,0.5274,2024-01-24 11:00:00,2024-01-24 03:30:00,2024-01-25 00:00:00,780,toquio+londres+ny,toquio,treino
USD,2024-02-02,1,1.3574,7,0.4142,2024-02-02 16:00:00,2024-02-02 16:00:00,2024-02-02 20:00:00,240,londres+ny,londres,treino
JPY,2024-02-08,-1,1.0312,7,0.4875,2024-02-08 04:00:00,2024-02-08 02:30:00,2024-02-08 22:30:00,1110,toquio+londres+ny,toquio,treino
GBP,2024-02-13,1,1.0301,6,0.4256,2024-02-13 09:30:00,2024-02-13 09:30:00,2024-02-13 19:30:00,600,toquio+londres+ny,toquio,treino
USD,2024-02-13,1,1.2093,7,0.3468,2024-02-13 16:00:00,2024-02-13 16:00:00,2024-02-13 22:00:00,360,londres+ny,londres,treino
NZD,2024-02-28,-1,1.4633,7,0.3588,2024-02-28 03:30:00,2024-02-28 03:30:00,2024-02-28 18:30:00,900,toquio+londres+ny,toquio,treino
CHF,2024-02-29,-1,1.0781,7,0.4741,2024-02-29 12:30:00,2024-02-29 03:30:00,2024-02-29 23:00:00,630,londres+ny,londres,treino
JPY,2024-02-29,1,1.2999,7,0.3462,2024-02-29 04:00:00,2024-02-29 02:30:00,2024-02-29 17:30:00,810,toquio+londres+ny,toquio,treino
AUD,2024-03-06,1,1.031,7,0.3487,2024-03-06 05:00:00,2024-03-06 04:30:00,2024-03-06 20:30:00,930,toquio+londres+ny,toquio,treino
USD,2024-03-07,-1,1.1158,7,0.4355,2024-03-07 06:00:00,2024-03-07 02:30:00,2024-03-07 22:00:00,960,toquio+londres+ny,toquio,treino
JPY,2024-03-19,-1,1.4017,7,0.5022,2024-03-19 06:00:00,2024-03-19 03:30:00,2024-03-19 19:30:00,810,toquio+londres+ny,toquio,treino
AUD,2024-03-20,1,1.0018,7,0.4927,2024-03-20 04:00:00,2024-03-20 02:30:00,2024-03-21 00:00:00,1200,toquio+londres+ny,toquio,treino
USD,2024-03-21,1,1.3286,7,0.4228,2024-03-21 11:00:00,2024-03-21 10:30:00,2024-03-21 20:00:00,540,toquio+londres+ny,toquio,treino
AUD,2024-04-10,-1,1.3793,7,0.4433,2024-04-10 14:00:00,2024-04-10 04:00:00,2024-04-10 22:00:00,480,londres+ny,londres,treino
USD,2024-04-10,1,2.006,7,0.4918,2024-04-10 16:00:00,2024-04-10 16:00:00,2024-04-10 19:30:00,210,londres+ny,londres,treino
JPY,2024-04-12,1,1.1419,6,0.3376,2024-04-12 09:30:00,2024-04-12 03:30:00,2024-04-12 16:00:00,390,toquio+londres+ny,toquio,treino
USD,2024-04-12,1,1.1562,7,0.4667,2024-04-12 09:30:00,2024-04-12 06:30:00,2024-04-12 22:00:00,750,toquio+londres+ny,toquio,treino
GBP,2024-04-19,-1,1.1146,7,0.3364,2024-04-19 18:00:00,2024-04-19 17:30:00,2024-04-20 00:00:00,360,londres+ny,londres,treino
JPY,2024-04-26,-1,2.3394,7,0.6184,2024-04-26 08:00:00,2024-04-26 06:30:00,2024-04-27 00:00:00,960,toquio+londres+ny,toquio,treino
USD,2024-04-30,1,1.203,7,0.4509,2024-04-30 06:30:00,2024-04-30 04:00:00,2024-05-01 00:00:00,1050,toquio+londres+ny,toquio,treino
JPY,2024-05-01,1,1.5972,7,0.5723,2024-05-01 23:30:00,2024-05-01 23:30:00,2024-05-02 00:00:00,30,ny,ny,treino
USD,2024-05-15,-1,1.1098,7,0.3764,2024-05-15 07:00:00,2024-05-15 03:30:00,2024-05-15 21:00:00,840,toquio+londres+ny,toquio,treino
CHF,2024-05-30,1,1.6911,7,0.5157,2024-05-30 10:00:00,2024-05-30 07:30:00,2024-05-31 00:00:00,840,toquio+londres+ny,toquio,treino
CAD,2024-06-03,-1,1.1561,7,0.4537,2024-06-03 10:00:00,2024-06-03 05:00:00,2024-06-03 22:00:00,720,toquio+londres+ny,toquio,treino
AUD,2024-06-04,-1,1.0215,7,0.3826,2024-06-04 08:30:00,2024-06-04 04:00:00,2024-06-04 19:30:00,660,toquio+londres+ny,toquio,treino
CHF,2024-06-04,1,1.1457,6,0.3031,2024-06-04 11:00:00,2024-06-04 10:30:00,2024-06-04 20:30:00,570,toquio+londres+ny,toquio,treino
JPY,2024-06-04,1,1.5216,7,0.3217,2024-06-04 10:00:00,2024-06-04 09:00:00,2024-06-04 13:30:00,210,toquio+londres,toquio,treino
NZD,2024-06-07,-1,1.3468,7,0.4749,2024-06-07 16:00:00,2024-06-07 08:30:00,2024-06-07 23:30:00,450,londres+ny,londres,treino
USD,2024-06-07,1,1.5719,7,0.5286,2024-06-07 16:00:00,2024-06-07 16:00:00,2024-06-08 00:00:00,480,londres+ny,londres,treino
EUR,2024-06-13,-1,1.0219,7,0.4325,2024-06-13 17:30:00,2024-06-13 14:30:00,2024-06-14 00:00:00,390,londres+ny,londres,treino
CHF,2024-06-14,1,1.0144,7,0.357,2024-06-14 09:30:00,2024-06-14 03:30:00,2024-06-14 17:30:00,480,toquio+londres+ny,toquio,treino
CAD,2024-07-05,-1,1.1766,7,0.553,2024-07-05 06:30:00,2024-07-05 03:30:00,2024-07-06 00:00:00,1050,toquio+londres+ny,toquio,treino
GBP,2024-07-10,1,1.2534,7,0.5338,2024-07-10 06:00:00,2024-07-10 04:00:00,2024-07-10 22:00:00,960,toquio+londres+ny,toquio,treino
NZD,2024-07-10,-1,1.646,7,0.3671,2024-07-10 05:30:00,2024-07-10 05:30:00,2024-07-10 12:30:00,420,toquio+londres,toquio,treino
CAD,2024-07-11,-1,1.1271,7,0.4183,2024-07-11 10:30:00,2024-07-11 03:30:00,2024-07-11 20:30:00,600,toquio+londres+ny,toquio,treino
JPY,2024-07-11,1,2.8484,7,0.5854,2024-07-11 16:00:00,2024-07-11 16:00:00,2024-07-11 20:00:00,240,londres+ny,londres,treino
CHF,2024-07-17,1,1.6331,6,0.4999,2024-07-17 11:30:00,2024-07-17 11:00:00,2024-07-18 00:00:00,750,toquio+londres+ny,toquio,treino
JPY,2024-07-17,1,1.5384,7,0.3975,2024-07-17 09:00:00,2024-07-17 08:00:00,2024-07-17 22:00:00,780,toquio+londres+ny,toquio,treino
AUD,2024-07-22,-1,1.2184,7,0.4856,2024-07-22 05:00:00,2024-07-22 03:30:00,2024-07-22 17:30:00,750,toquio+londres+ny,toquio,treino
JPY,2024-07-23,1,1.2471,7,0.4305,2024-07-23 06:30:00,2024-07-23 03:30:00,2024-07-24 00:00:00,1050,toquio+londres+ny,toquio,treino
AUD,2024-07-24,-1,1.0621,7,0.3835,2024-07-24 06:30:00,2024-07-24 04:30:00,2024-07-25 00:00:00,1050,toquio+londres+ny,toquio,treino
CHF,2024-07-24,1,1.2811,6,0.4646,2024-07-24 10:30:00,2024-07-24 06:30:00,2024-07-24 17:30:00,420,toquio+londres+ny,toquio,treino
JPY,2024-07-24,1,1.3767,7,0.3618,2024-07-24 04:30:00,2024-07-24 04:30:00,2024-07-24 18:00:00,810,toquio+londres+ny,toquio,treino
CHF,2024-08-01,1,1.3066,7,0.4639,2024-08-01 09:30:00,2024-08-01 03:30:00,2024-08-01 22:00:00,750,toquio+londres+ny,toquio,treino
GBP,2024-08-01,-1,1.3792,7,0.3392,2024-08-01 09:30:00,2024-08-01 07:00:00,2024-08-01 22:00:00,750,toquio+londres+ny,toquio,treino
CAD,2024-08-02,-1,1.1372,6,0.3476,2024-08-02 12:30:00,2024-08-02 11:00:00,2024-08-03 00:00:00,690,londres+ny,londres,treino
CHF,2024-08-02,1,1.5071,6,0.3711,2024-08-02 16:00:00,2024-08-02 11:00:00,2024-08-03 00:00:00,480,londres+ny,londres,treino
USD,2024-08-02,-1,1.3026,7,0.4452,2024-08-02 09:00:00,2024-08-02 05:00:00,2024-08-02 17:30:00,510,toquio+londres+ny,toquio,treino
GBP,2024-08-06,-1,1.261,7,0.4458,2024-08-06 11:00:00,2024-08-06 03:30:00,2024-08-07 00:00:00,780,toquio+londres+ny,toquio,treino
AUD,2024-08-08,1,1.1307,7,0.3827,2024-08-08 05:30:00,2024-08-08 04:30:00,2024-08-08 22:00:00,990,toquio+londres+ny,toquio,treino
USD,2024-08-23,-1,1.2011,7,0.4415,2024-08-23 17:30:00,2024-08-23 03:30:00,2024-08-23 21:30:00,240,londres+ny,londres,treino
AUD,2024-09-03,-1,1.372,7,0.4982,2024-09-03 06:00:00,2024-09-03 05:00:00,2024-09-03 23:30:00,1050,toquio+londres+ny,toquio,treino
JPY,2024-09-03,1,1.1589,7,0.3391,2024-09-03 06:30:00,2024-09-03 05:00:00,2024-09-04 00:00:00,1050,toquio+londres+ny,toquio,treino
AUD,2024-09-06,-1,1.1494,7,0.3621,2024-09-06 17:00:00,2024-09-06 16:30:00,2024-09-06 23:30:00,390,londres+ny,londres,treino
JPY,2024-09-06,1,1.0996,7,0.3232,2024-09-06 17:30:00,2024-09-06 03:30:00,2024-09-06 19:00:00,90,londres+ny,londres,treino
EUR,2024-09-23,-1,1.3274,7,0.4727,2024-09-23 10:30:00,2024-09-23 06:30:00,2024-09-23 22:00:00,690,toquio+londres+ny,toquio,treino
USD,2024-09-25,1,1.1705,7,0.5289,2024-09-25 10:00:00,2024-09-25 03:30:00,2024-09-25 23:00:00,780,toquio+londres+ny,toquio,treino
JPY,2024-09-27,1,1.7615,7,0.3089,2024-09-27 09:30:00,2024-09-27 09:30:00,2024-09-27 21:30:00,720,toquio+londres+ny,toquio,treino
CAD,2024-10-01,1,1.0065,7,0.4944,2024-10-01 11:00:00,2024-10-01 05:30:00,2024-10-01 20:00:00,540,toquio+londres+ny,toquio,treino
JPY,2024-10-02,-1,1.3416,7,0.5147,2024-10-02 10:30:00,2024-10-02 09:00:00,2024-10-02 23:00:00,750,toquio+londres+ny,toquio,treino
GBP,2024-10-03,-1,1.0605,7,0.4043,2024-10-03 08:30:00,2024-10-03 08:30:00,2024-10-03 14:30:00,360,toquio+londres,toquio,treino
JPY,2024-11-06,-1,1.138,7,0.3366,2024-11-06 03:00:00,2024-11-06 02:30:00,2024-11-06 20:30:00,1050,toquio+londres+ny,toquio,treino
USD,2024-11-06,1,2.3745,7,0.3307,2024-11-06 02:30:00,2024-11-06 02:30:00,2024-11-06 16:30:00,840,toquio+londres+ny,toquio,treino
AUD,2024-11-07,1,1.2437,7,0.4354,2024-11-07 04:00:00,2024-11-07 02:30:00,2024-11-07 18:00:00,840,toquio+londres+ny,toquio,treino
USD,2024-11-07,-1,1.2726,7,0.3759,2024-11-07 05:00:00,2024-11-07 04:00:00,2024-11-07 17:30:00,750,toquio+londres+ny,toquio,treino
AUD,2024-11-08,-1,1.3154,7,0.5113,2024-11-08 05:30:00,2024-11-08 02:30:00,2024-11-08 19:30:00,840,toquio+londres+ny,toquio,treino
JPY,2024-11-08,1,1.155,7,0.4035,2024-11-08 05:30:00,2024-11-08 04:00:00,2024-11-08 19:30:00,840,toquio+londres+ny,toquio,treino
JPY,2024-11-15,1,1.637,7,0.479,2024-11-15 10:00:00,2024-11-15 08:30:00,2024-11-15 21:00:00,660,toquio+londres+ny,toquio,treino
AUD,2024-12-04,-1,1.1908,7,0.323,2024-12-04 03:00:00,2024-12-04 03:00:00,2024-12-04 15:00:00,720,toquio+londres,toquio,treino
NZD,2024-12-18,-1,1.727,7,0.6258,2024-12-18 06:30:00,2024-12-18 02:30:00,2024-12-19 00:00:00,1050,toquio+londres+ny,toquio,treino
USD,2024-12-18,1,1.8485,7,0.6024,2024-12-18 19:00:00,2024-12-18 02:30:00,2024-12-19 00:00:00,300,londres+ny,londres,treino
JPY,2024-12-19,-1,1.7216,7,0.4297,2024-12-19 05:00:00,2024-12-19 02:30:00,2024-12-19 18:30:00,810,toquio+londres+ny,toquio,treino
EUR,2025-01-02,-1,1.0325,6,0.3795,2025-01-02 12:30:00,2025-01-02 02:30:00,2025-01-02 18:30:00,360,londres+ny,londres,validacao
GBP,2025-01-02,-1,1.3073,7,0.4566,2025-01-02 10:30:00,2025-01-02 02:30:00,2025-01-02 17:30:00,420,toquio+londres+ny,toquio,validacao
GBP,2025-01-08,-1,1.0821,7,0.3835,2025-01-08 13:30:00,2025-01-08 09:30:00,2025-01-08 17:00:00,210,londres+ny,londres,validacao
JPY,2025-01-15,1,1.1076,7,0.3843,2025-01-15 07:00:00,2025-01-15 02:30:00,2025-01-15 18:00:00,660,toquio+londres+ny,toquio,validacao
JPY,2025-01-16,1,1.0078,7,0.3027,2025-01-16 03:30:00,2025-01-16 03:30:00,2025-01-17 00:00:00,1230,toquio+londres+ny,toquio,validacao
USD,2025-01-20,-1,1.3757,7,0.3371,2025-01-20 16:00:00,2025-01-20 02:30:00,2025-01-20 22:00:00,360,londres+ny,londres,validacao
JPY,2025-01-30,1,1.0075,7,0.3286,2025-01-30 03:00:00,2025-01-30 02:30:00,2025-01-31 00:00:00,1260,toquio+londres+ny,toquio,validacao
CAD,2025-02-03,1,1.4417,7,0.3061,2025-02-03 17:30:00,2025-02-03 08:00:00,2025-02-04 00:00:00,390,londres+ny,londres,validacao
JPY,2025-02-06,1,1.0143,7,0.4104,2025-02-06 03:00:00,2025-02-06 02:30:00,2025-02-06 21:30:00,1110,toquio+londres+ny,toquio,validacao
USD,2025-02-27,1,1.1162,7,0.4386,2025-02-27 06:00:00,2025-02-27 02:30:00,2025-02-27 23:30:00,1050,toquio+londres+ny,toquio,validacao
CAD,2025-03-03,-1,1.1056,7,0.3224,2025-03-03 16:30:00,2025-03-03 11:30:00,2025-03-03 22:30:00,360,londres+ny,londres,validacao
EUR,2025-03-04,1,1.1422,7,0.3869,2025-03-04 15:00:00,2025-03-04 13:30:00,2025-03-04 22:30:00,450,londres+ny,londres,validacao
USD,2025-03-04,-1,1.018,6,0.3182,2025-03-04 10:30:00,2025-03-04 08:30:00,2025-03-05 00:00:00,810,toquio+londres+ny,toquio,validacao
CHF,2025-03-05,-1,1.1903,7,0.3555,2025-03-05 16:00:00,2025-03-05 13:30:00,2025-03-05 22:30:00,390,londres+ny,londres,validacao
EUR,2025-03-05,1,1.518,7,0.4142,2025-03-05 10:00:00,2025-03-05 03:00:00,2025-03-05 19:30:00,570,toquio+londres+ny,toquio,validacao
AUD,2025-04-04,-1,4.2926,7,0.4811,2025-04-04 06:00:00,2025-04-04 04:00:00,2025-04-04 20:00:00,840,toquio+londres+ny,toquio,validacao
NZD,2025-04-04,-1,2.0361,6,0.394,2025-04-04 05:30:00,2025-04-04 03:30:00,2025-04-04 20:30:00,900,toquio+londres+ny,toquio,validacao
USD,2025-04-04,1,1.8298,7,0.3506,2025-04-04 10:30:00,2025-04-04 09:00:00,2025-04-04 20:30:00,600,toquio+londres+ny,toquio,validacao
GBP,2025-04-07,-1,1.2621,6,0.44,2025-04-07 10:00:00,2025-04-07 04:30:00,2025-04-07 23:00:00,780,toquio+londres+ny,toquio,validacao
CHF,2025-04-08,1,1.2208,7,0.3081,2025-04-08 20:00:00,2025-04-08 18:30:00,2025-04-09 00:00:00,240,ny,ny,validacao
CHF,2025-04-10,1,1.9786,7,0.4223,2025-04-10 11:30:00,2025-04-10 11:00:00,2025-04-11 00:00:00,750,toquio+londres+ny,toquio,validacao
USD,2025-04-10,-1,1.5489,7,0.4697,2025-04-10 07:00:00,2025-04-10 03:30:00,2025-04-10 21:30:00,870,toquio+londres+ny,toquio,validacao
JPY,2025-05-01,-1,1.3445,7,0.4198,2025-05-01 06:30:00,2025-05-01 05:00:00,2025-05-01 22:00:00,930,toquio+londres+ny,toquio,validacao
USD,2025-05-12,1,1.0761,7,0.3047,2025-05-12 10:30:00,2025-05-12 10:00:00,2025-05-12 21:30:00,660,toquio+londres+ny,toquio,validacao
USD,2025-05-23,-1,1.1188,7,0.5653,2025-05-23 05:00:00,2025-05-23 03:30:00,2025-05-23 23:30:00,1110,toquio+londres+ny,toquio,validacao
GBP,2025-07-02,-1,1.2084,7,0.4768,2025-07-02 15:00:00,2025-07-02 11:00:00,2025-07-02 17:30:00,150,londres+ny,londres,validacao
AUD,2025-07-10,1,1.1417,7,0.5495,2025-07-10 06:00:00,2025-07-10 03:30:00,2025-07-10 23:00:00,1020,toquio+londres+ny,toquio,validacao
EUR,2025-07-28,-1,1.4919,7,0.6157,2025-07-28 10:30:00,2025-07-28 05:00:00,2025-07-29 00:00:00,810,toquio+londres+ny,toquio,validacao
USD,2025-07-28,1,1.0657,7,0.4051,2025-07-28 09:30:00,2025-07-28 07:30:00,2025-07-28 22:30:00,780,toquio+londres+ny,toquio,validacao
USD,2025-07-30,1,1.2625,7,0.4417,2025-07-30 15:30:00,2025-07-30 13:30:00,2025-07-30 23:30:00,480,londres+ny,londres,validacao
JPY,2025-07-31,-1,1.0933,7,0.3533,2025-07-31 11:00:00,2025-07-31 10:30:00,2025-07-31 22:30:00,690,toquio+londres+ny,toquio,validacao
JPY,2025-08-01,1,2.1691,7,0.6335,2025-08-01 12:00:00,2025-08-01 05:30:00,2025-08-01 23:00:00,660,toquio+londres+ny,toquio,validacao
CHF,2025-08-20,1,1.0581,7,0.504,2025-08-20 11:30:00,2025-08-20 05:30:00,2025-08-21 00:00:00,750,toquio+londres+ny,toquio,validacao
NZD,2025-08-20,-1,2.0172,7,0.4079,2025-08-20 05:30:00,2025-08-20 03:30:00,2025-08-20 17:00:00,690,toquio+londres+ny,toquio,validacao
USD,2025-08-22,-1,1.4124,7,0.4222,2025-08-22 17:30:00,2025-08-22 17:30:00,2025-08-22 20:30:00,180,londres+ny,londres,validacao
EUR,2025-08-25,-1,1.0716,7,0.4758,2025-08-25 13:30:00,2025-08-25 06:00:00,2025-08-26 00:00:00,630,londres+ny,londres,validacao
GBP,2025-09-02,-1,1.3428,7,0.3737,2025-09-02 10:30:00,2025-09-02 10:30:00,2025-09-02 18:30:00,480,toquio+londres+ny,toquio,validacao
CAD,2025-09-05,-1,1.0949,7,0.4262,2025-09-05 16:00:00,2025-09-05 04:00:00,2025-09-05 20:30:00,270,londres+ny,londres,validacao
CHF,2025-09-16,1,1.3836,7,0.6942,2025-09-16 10:30:00,2025-09-16 03:30:00,2025-09-17 00:00:00,810,toquio+londres+ny,toquio,validacao
